,Sr. No.,Date (dd/mm/yyyy),Startup Name,Industry/ Vertical,Sub-Vertical,City / Location,Investors’ Name,Investment Type,Amount (in USD)
2761,7,03/08/2017,Skill Connect,Consumer Internet,Recruitment Portal,Jaipur,Rajasthan Angel Investor Network,Seed Funding,N/A
2762,8,03/08/2017,Chai Point,Consumer Internet,Tea Delivery Portal & offline stores,Bangalore,"DSG Consumer Partners, Eight Roads Ventures India",Private Equity,N/A
2763,9,03/08/2017,Zoctr,Consumer Internet,Health Products & Services Aggregator,Mumbai,SIDBI,Private Equity,N/A
2764,10,04/08/2017,Lime Tray,Technology,Restaurant Management Solutions,New Delhi,JSW Ventures,Private Equity,N/A
2765,11,04/08/2017,CoutLoot,eCommerce,Fashion Resale Marketplace,Mumbai,"Anuj Puri, Redcliffe Capital, Artha India Ventures, Siddharth Kothari, Apoorv Ranjan Sharma,",Seed Funding,N/A
2766,12,04/08/2017,Box My Space,Logistics,Warehouse Aggregator,Mumbai,"R. Jayakumar, Vaibhav Vohra, Aditya Vazirani, Rhea Vazirani, AVN Business Solutions, Dreamweaver Investments",Seed Funding,N/A
2767,13,05/08/2017,Curatio,Healthcare,Skincare Speciality services,Chennai,Anicut Capital,Private Equity,N/A
2768,14,08/08/2017,New Castle Technologies,Technology,Hospital Management Software,Chennai,Undisclosed investors,Seed Funding,"243,000"
2769,15,08/08/2017,My Forex Eye,Consumer Internet,foreign exchange services,New Delhi,"Rahul Dev Kumar, Rajesh Mahajan, Ankit Sharma and others",Seed Funding,"220,000"
2770,16,09/08/2017,TruxApp,Logistics,Mobile based Logistics Service,New Delhi,"Venugopal Dhoot, Ajay Bhatia, Tarun Khandelwal, Ganpat Singhvi, Mandhian family & Others",Seed Funding,"3,100,000"
2771,17,09/08/2017,CroFarm,Technology,Agriculture Supply Chain solutions,Gurgaon,Factor[e] Ventures,Seed Funding,"783,000"
2772,18,09/08/2017,DoodhWala,Consumer Internet,Online milk delivery,Bangalore,Tom Varkey,Seed Funding,N/A
2773,19,10/08/2017,Stayabode,Consumer Internet,Co-Living space aggregator,Bangalore,"Incubate Fund, Sanjay Shenoy, Mridul Upreti,",Private Equity,N/A
2774,20,11/08/2017,Flipkart,eCommerce,Online Marketplace,Bangalore,Softbank,Private Equity,"2,500,000,000"
2775,21,11/08/2017,Moong Labs,Technology,Mobile games developer,New Delhi,Nazara Games,Private Equity,N/A
2776,22,11/08/2017,Ola Cabs,Consumer Internet,App based cab aggregation Service,Gurgaon,Tekne Capital Management,Private Equity,"36,000,000"
2777,23,14/08/2017,Sports Flashes,Consumer Internet,Sports Content Mobile App,New Delhi,"Bennett, Coleman and Company Ltd (BCCL),",Private Equity,N/A
2778,24,14/08/2017,Digilend,Technology,Personal Loans & EMI solutions platform,Mumbai,"InCred Finance, Fullerton India Credit Company Ltd",Seed Funding,"312,000"
2779,25,15/08/2017,KNAB Finance,Consumer Internet,Unsecured Small Business Loans,Bangalore,"InCred, Krishnakumar Natarajan, Ravi Bhardwaj",Seed Funding,"385,000"
2780,26,17/08/2017,Get Simpl,Consumer Internet,Payment Solution Mobile app,Mumbai,"Green Visor Capital LP II, IA Venture Strategies Fund II LP, Boillot Family Trust, Russell M Byrne, The Oliver R. Grace, Jr. Millennium Trust, SF Capital Investments LP",Seed Funding,N/A
2781,27,20/08/2017,Rootefy,eCommerce,Building material online store,New Delhi,"Abhinav Gupta,",Seed Funding,"187,000"
2782,28,21/08/2017,Uniphore,Technology,speech recognition startup,Chennai,IDG Ventures,Private Equity,"6,800,000"
2783,29,21/08/2017,Cerebroz,Consumer Internet,E-Tech platform,Vadodara,Undisclosed HNI’s,Seed Funding,"734,000"
2784,30,22/08/2017,Flochat,Consumer Internet,instant messaging platform,Mumbai,"iSquare Global,",Seed Funding,N/A
2785,31,22/08/2017,EasyGov,Consumer Internet,Govt service application portal,Noida,"Social Alpha, Rajan Anandan, Rajeev Ahuja, Kshitij Arora",Seed Funding,N/A
2786,32,23/08/2017,Milk Basket,Consumer Internet,Online Grocery platform,Gurgaon,Blume Ventures. Lenovo Capital and Incubator Group (LCIG),Seed Funding,N/A
2787,33,23/08/2017,Dhruva,Technology,Cloud data protection and management solutions,Pune,"Riverwood Capital, Sequoia Capital India, Nexus Venture Partners, Tenaya Capital",Private Equity,"80,000,000"
2788,34,23/08/2017,Bombay Shaving Company,eCommerce,Men Grooming product etailer,New Delhi,Fireside Ventures,Private Equity,"2,300,000"
2789,35,23/08/2017,Awign,Technology,Operations and manpower outsourcing,Bangalore,"IIT Ropar, Imanpreet Singh Arora, Sidharth Rozario, Saurabh Abichandani, Shikhar Gupta,",Seed Funding,N/A
2790,36,23/08/2017,Indiez,Technology,Software & Mobile app development platform,Bangalore,Haresh Chawla,Seed Funding,"500,000"
2791,37,24/08/2017,Ezetap,Technology,mPOS solutions provider,Bangalore,"JS Capital Management, Social Capital, Horizons Ventures,",Private Equity,"16,000,000"
